time,joint_positions,joint_velocities,end_effector_position,velocity_magnitude
127.519,"[0.2497542428348627, -0.3299339809268398, 1.559897324383317]","[-3.887206033976288e-05, 1.929280763160886e-05, 5.856710170353766e-05]","[0.6346858153294448, 0.12096629355221805, 0.4875231630431752]",0.01121600697638596
128.282,"[0.2497546328542457, -0.3299337639788975, 1.5598942127424316]","[-4.639614632376296e-05, 2.0225190870379025e-05, 4.324026823222362e-05]","[0.634686062828434, 0.12096698770545189, 0.48752412376449333]",0.011215660761266266
128.852,"[0.2497565521553291, -0.32993364568261097, 1.5598930670747873]","[-3.5348244077676115e-05, 1.9739502001785398e-05, 5.7389028920483794e-05]","[0.6346858555847977, 0.12096791269903392, 0.4875242023342368]",0.011215253484605624
129.576,"[0.24975756196870602, -0.3299334957971176, 1.559892100034026]","[-4.7131208629181144e-05, 2.006604726035141e-05, 4.413981773093104e-05]","[0.6346868534073089, 0.12096747938900224, 0.4875262756745768]",0.011215001825669674
130.309,"[0.24975745690103768, -0.32993324267355284, 1.5598888076614426]","[-3.4013476714756484e-05, 1.9758817555677162e-05, 5.780480049033526e-05]","[0.6346862279110622, 0.1209692183598771, 0.4875258541700073]",0.011214714887422254
130.982,"[0.2497596411350722, -0.3299330825594664, 1.5598883855603871]","[-3.695669799749383e-05, 2.0742742419347078e-05, 3.96660821710773e-05]","[0.6346875187728152, 0.12096835579146153, 0.487528389010355]",0.011214326666818882
131.451,"[0.24975812340704806, -0.3299327223683255, 1.5598840457197376]","[-4.458391694394434e-05, 2.0536541529658627e-05, 5.5843517508429556e-05]","[0.6346867990778721, 0.12097013464987989, 0.4875277572147395]",0.011214162213969371
132.091,"[0.24976178724003706, -0.32993276590455434, 1.5598856644967736]","[-4.318099960569509e-05, 2.047710429831137e-05, 5.6528651453116005e-05]","[0.6346871211350823, 0.12097023199978457, 0.4875286356743282]",0.011213733882932822
132.749,"[0.24976127735916087, -0.3299324989322763, 1.5598832987453797]","[-1.9253606870762468e-05, 1.0424941211408254e-05, 4.5933925397365964e-05]","[0.6346878179805633, 0.12097013865247097, 0.48753027334154675]",0.011213590134902056
133.365,"[0.24976126663387532, -0.3299321663454222, 1.5598806349016403]","[-3.7462033733671226e-05, 1.98646446339495e-05, 5.67939210139944e-05]","[0.6346873787583643, 0.12097173790258556, 0.4875302710676672]",0.011213338244450598
134.042,"[0.24976383577279915, -0.3299319114388686, 1.5598800810823787]","[-3.695457529252823e-05, 2.0872026085596458e-05, 3.9120417039754975e-05]","[0.6346878840489174, 0.12097267511045486, 0.4875321185545223]",0.011212872347146107
135.267,"[0.24976625784797335, -0.3299314568762819, 1.5598774067648993]","[-3.6348918098653415e-05, 2.005030626890685e-05, 5.520838209435598e-05]","[0.6346889801993809, 0.12097275034157964, 0.4875349107930165]",0.01121223174335809
136.065,"[0.24976543911681404, -0.3299306437943619, 1.559871198510164]","[-1.162439723979181e-05, 1.1019411452716681e-05, 5.4868760587138874e-05]","[0.6346891159917811, 0.12097447907941092, 0.4875364553411138]",0.011211766341993399
137.015,"[0.24976818465564765, -0.3299300981831035, 1.559868461929371]","[-4.836793136780928e-05, 2.221025443604286e-05, 4.156991177260031e-05]","[0.6346891385466171, 0.12097554910178072, 0.48753720603513107]",0.011211063992510461
137.689,"[0.24977101624628695, -0.32992985358789984, 1.5598678485508657]","[-3.939037363161107e-05, 1.9835737947739488e-05, 5.8719940200462276e-05]","[0.63468987076145, 0.1209755494580294, 0.4875389041656985]",0.011210552551443901
138.8,"[0.24976982198932074, -0.32992948324230653, 1.5598632425358963]","[-1.2611750172295256e-05, 1.0518636634517846e-05, 5.419132733324097e-05]","[0.6346894176964962, 0.12097734569541929, 0.4875390019536715]",0.011210313888242528
139.685,"[0.24977312153349462, -0.3299292883497529, 1.5598633289134165]","[-5.0929042201880885e-05, 1.9411056245265967e-05, 4.513105004095052e-05]","[0.6346902431701852, 0.12097706658803545, 0.4875408055221854]",0.0112097935168203
140.331,"[0.2497725755066531, -0.3299290044254626, 1.5598603090942689]","[-3.557400723665827e-05, 1.9607559982614018e-05, 5.6943103532993634e-05]","[0.6346899426279918, 0.12097832325409304, 0.4875409095507044]",0.011209597418584195
141.125,"[0.24977483794992672, -0.3299288131018292, 1.5598599072667518]","[-4.812729752045984e-05, 2.180777041828211e-05, 4.2817319141579476e-05]","[0.6346904163254677, 0.12097857363418427, 0.4875422129410365]",0.011209196726297773
142.103,"[0.24977683502864423, -0.3299285508277716, 1.5598585245482113]","[-6.209638097041288e-06, 1.0012790985437724e-05, 5.918859382424831e-05]","[0.6346909959748188, 0.120978956367747, 0.487543897307317]",0.011208747448759876
142.969,"[0.24977545612926644, -0.32992801193020416, 1.5598536443516062]","[-1.5653820072430123e-05, 1.0812015676858585e-05, 4.946776984439483e-05]","[0.6346906123594358, 0.12098072060459807, 0.48754428287179746]",0.011208503045244424
143.923,"[0.24977910069909992, -0.32992760698425183, 1.5598540552259763]","[-4.7629680850397045e-05, 2.1204195090613212e-05, 4.679523281346733e-05]","[0.6346912404361063, 0.12098099522667036, 0.4875460634428972]",0.011207943620851533
144.91,"[0.24977968512069015, -0.3299270938511425, 1.5598508235176523]","[-3.986829015086595e-05, 2.1168283869913647e-05, 6.023663445746958e-05]","[0.6346915062907473, 0.1209816537673301, 0.48754718858884116]",0.011207537859124478
145.821,"[0.24977987906235466, -0.3299266382847392, 1.559847352982196]","[-4.640255829141717e-05, 2.067970439851526e-05, 4.460109979498231e-05]","[0.6346911808841885, 0.12098332057795796, 0.4875475717030648]",0.01120717598558904
146.694,"[0.24978373263527232, -0.3299263161442223, 1.5598480475662777]","[-2.923999188402121e-05, 1.8927737747236602e-05, 4.99911053661457e-05]","[0.6346922826784109, 0.12098264405765924, 0.4875498396063083]",0.011206613906725964
147.601,"[0.24978195146298532, -0.32992579756252116, 1.559843218710351]","[-4.929780756263228e-05, 2.19832884681656e-05, 5.5778173970023466e-05]","[0.6346914790728594, 0.12098462381303003, 0.4875492716986338]",0.011206390899081178
148.766,"[0.24978587299206811, -0.3299256422071766, 1.559844903467126]","[-4.279552958910842e-05, 2.0923146729413524e-05, 5.043933110721052e-05]","[0.6346916084853915, 0.12098620048114803, 0.48755077448859074]",0.012774727419216038
150.528,"[0.24978867194283527, -0.3299249299806082, 1.559842243561481]","[-5.252588915953513e-05, 2.2282420470382092e-05, 5.1543838306687554e-05]","[0.6383048423558285, 0.09341334074684925, 0.48913852542116587]",0.028467071402172358
151.948,"[0.19652725189780718, -0.3206531025596391, 1.5673315151193252]","[-0.03883807530845427, 0.006753142476240674, 0.005526009077398292]","[0.6436998074324757, 0.03958949238758905, 0.480629129765332]",0.034389277158349586
153.591,"[0.08454754803161002, -0.3301558246846197, 1.5774627802111398]","[-0.07108779187269672, -0.006820144004709136, 0.006303247746926455]","[0.6502263720232129, -0.020668862467451955, 0.46901414209883674]",0.03914320775904506
155.029,"[-0.024991913488292994, -0.3670367417203524, 1.5582750193758859]","[-0.08371014198927214, -0.04828969743982, -0.044373956515332075]","[0.6595190106199282, -0.09509472761024719, 0.4596429299443058]",0.050207982653339055
156.658,"[-0.15973647167722937, -0.43729878215051077, 1.4914441742510984]","[-0.08817025554605724, -0.045093078264057965, -0.04311753282865843]","[0.6475510455614009, -0.17317260757945183, 0.44254914775338405]",0.07018375152931824
157.833,"[-0.3058567936176182, -0.48966405533649304, 1.46527785755851]","[-0.11157998277986156, -0.03528178358963934, -0.011399239655463519]","[0.6200918071775365, -0.24879397722056912, 0.4293193501492427]",0.08452003208265137
158.554,"[-0.45546834193040553, -0.5235630618397353, 1.4521516602479316]","[-0.14666355744891665, -0.03213407957427692, -0.012689919413255313]","[0.5956519660719317, -0.29552837076598837, 0.42614095106343275]",0.08538871824263289
